official_name,entity_type,total_patents,total_citations,notes,raw_variants,cik,form_type,cik_source
"Samsung Electronics Co., Ltd.",Parent,10759,3668,Name variant,samsung electronics co ltd; samsung electronics coltd,,,known non-filer
SK Hynix Inc.,Parent,1959,819,,sk hynix inc,,,known non-filer
Infineon Technologies AG,Parent,1723,362,Austria entity,cypress semiconductor corporation; infineon technlolgies ag; infineon technologies ag; infineon technologies austria ag; infineon technologies dresden gmbh co kg,,,known non-filer
Kioxia Corporation,Parent,1584,829,Spun off from Toshiba; formerly Toshiba Memory,kioxia corporation; toshiba memory corporation,,,known non-filer
Mitsubishi Electric Corporation,Independent,1496,220,Separate from other Mitsubishi group cos,mitsubishi electric corporation; mitsubishi electric research laboratories inc,,,known non-filer
"Huawei Technologies Co., Ltd.",Parent,1449,150,Digital Power division,huawei cloud computing technologies co ltd; huawei digital power technologies co ltd; huawei technologies co ltd; huawei technologies coltd,,,known non-filer
Nanya Technology Corporation,Parent,1259,248,,nanya technology corporation,,,known non-filer
"Fuji Electric Co., Ltd.",Parent,1176,202,,fuji electric co ltd,,,not found
Toshiba Corporation,Parent,1144,223,Materials division,kabushiki kaisha toshiba; toshiba carrier corporation; toshiba digital solutions corporation; toshiba electonic devices storage corporation; toshiba electronic devices storage corporation; toshiba electrowave products co ltd; toshiba eletronic devices storage corporation; toshiba energy systems solutions corporation; toshiba global commerce solutions holdings corporation; toshiba infrastructure systems solutions corporation; toshiba international corporation; toshiba materials co ltd,,,known non-filer
"ROHM Co., Ltd.",Parent,1062,247,,rohm co ltd,,,not found
Fujitsu Limited,Parent,1061,200,,fujitsu limited,,,known non-filer
Tokyo Electron Limited,Parent,1006,336,,tokyo electron limited,,,known non-filer
"Semiconductor Energy Laboratory Co., Ltd.",Parent,977,959,Private; Japan,semiconductor energy laboratory co ltd,,,not found
"Baidu, Inc.",Subsidiary,886,319,Name variant – core entity,baidu online network technology beijing co ltd; baidu usa llc; baiducom times technology beijing co ltd; beijing baidu netcom science and technology co ltd; beijing baidu netcom science technology co ltd,,,known non-filer
ASM International N.V.,Subsidiary,845,2089,US IP holding entity,asm ip holding bv,,,not found
"Yangtze Memory Technologies Co., Ltd.",Parent,792,506,,yangtze memory technologies co ltd; yangtze memory technologies holding co ltd; yangtze memory technology co ltd,,,known non-filer
NEC Corporation,Parent,764,100,US research lab,nec corporation; nec laboratories america inc; nec laboratories europe gmbh; nec platforms ltd,,,not found
"Changxin Memory Technologies, Inc.",Parent,740,38,Chinese DRAM maker (CXMT),changxin memory technologies inc,,,known non-filer
Renesas Electronics Corporation,Parent,728,165,,renesas electronics corporation,,,known non-filer
Robert Bosch GmbH,Parent,605,40,Private,robert bosch gmbh,,,known non-filer
Semiconductor Manufacturing International Corporation,Subsidiary,553,69,Beijing fab,semiconductor manufacturing international beijing corporation; semiconductor manufacturing international shanghai corporation; smic new technology research and development shanghai corporation,,,known non-filer
DENSO Corporation,Parent,541,87,Toyota group affiliate,denso corporation,,,known non-filer
"Murata Manufacturing Co., Ltd.",Parent,530,88,,murata manufactunng co ltd; murata manufacturing co ltd; murata manufasturing co ltd,,,known non-filer
Tencent Holdings Limited,Subsidiary,518,73,Core tech entity,tencent america llc; tencent technology shenzhen company limited; tencent technology shenzhen company ltd,,,known non-filer
"Hitachi, Ltd.",Parent,458,40,Auto JV w/ Honda; est. Jan 2021,hitachi astemo ltd; hitachi automotive systems ltd; hitachi energy ltd; hitachi hightech corporation; hitachi ltd; hitachi power semiconductor device ltd,,,known non-filer
MediaTek Inc.,Parent,390,77,Singapore entity,mediatek inc; mediatek singapore pte ltd,,,known non-filer
"Delta Electronics, Inc.",Parent,319,75,Shanghai manufacturing,delta electronics inc; delta electronics shanghai co ltd; delta electronics shanghai coltd,,,not found
ETRI (Electronics and Telecommunications Research Institute),Research institute,308,36,South Korean gov't R&D,electronics and telecomminications research institute; electronics and telecommunications research institute; electronics and telecommunications research lnstitute; electronics and telecommuunications research institute,,,not found
Winbond Electronics Corporation,Parent,306,88,,winbond electronics corp,,,not found
Monolithic 3D Inc.,Parent,289,321,,monolithic 3d inc,,,not found
hamilton sundstrand corporation,,285,93,,hamilton sundstrand corporation,,,not found
Panasonic Holdings Corporation,Subsidiary,273,72,Japan IP entity,panasonic intellectual property corporation of america; panasonic intellectual property management co ltd,,,not found
