Company,Form Type,Filing date,Period end,R&D Expenses,Revenue,Cost of Revenue,URL
10x genomics inc,10-Q,2019-11-12,2019-09-30,22.21,61.21,15.48,https://www.sec.gov/Archives/edgar/data/1770787/000119312519289931/
10x genomics inc,10-Q,2020-05-12,2020-03-31,25.99,71.91,15.11,https://www.sec.gov/Archives/edgar/data/1770787/000119312520140382/
10x genomics inc,10-Q,2020-08-12,2020-06-30,27.54,,10.05,https://www.sec.gov/Archives/edgar/data/1770787/000162828020012520/
10x genomics inc,10-Q,2020-11-12,2020-09-30,30.14,,14.41,https://www.sec.gov/Archives/edgar/data/1770787/000177078720000009/
10x genomics inc,10-Q,2021-05-07,2021-03-31,41.88,,17.06,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000031/
10x genomics inc,10-Q,2021-08-06,2021-06-30,53.4,,4.92,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000044/
10x genomics inc,10-Q,2021-11-05,2021-09-30,54.58,,24.52,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000054/
10x genomics inc,10-Q,2022-05-05,2022-03-31,64.08,,25.48,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000029/
10x genomics inc,10-Q,2022-08-09,2022-06-30,70.69,,27.7,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000049/
10x genomics inc,10-Q,2022-11-03,2022-09-30,67.29,,30.38,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000057/
10x genomics inc,10-Q,2023-05-04,2023-03-31,67.1,,35.9,https://www.sec.gov/Archives/edgar/data/1770787/000177078723000029/
10x genomics inc,10-Q,2023-08-04,2023-06-30,71.46,,47.21,https://www.sec.gov/Archives/edgar/data/1770787/000177078723000047/
10x genomics inc,10-Q,2023-11-03,2023-09-30,66.51,,58.12,https://www.sec.gov/Archives/edgar/data/1770787/000177078723000053/
10x genomics inc,10-Q,2024-04-30,2024-03-31,68.64,,48.09,https://www.sec.gov/Archives/edgar/data/1770787/000177078724000036/
10x genomics inc,10-Q,2024-08-08,2024-06-30,62.92,,48.88,https://www.sec.gov/Archives/edgar/data/1770787/000177078724000060/
10x genomics inc,10-Q,2024-10-29,2024-09-30,66.17,,45.26,https://www.sec.gov/Archives/edgar/data/1770787/000177078724000073/
10x genomics inc,10-Q,2025-05-09,2025-03-31,64.25,,49.44,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000032/
10x genomics inc,10-Q,2025-08-08,2025-06-30,61.22,,47.82,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000051/
10x genomics inc,10-Q,2025-11-07,2025-09-30,57.19,,48.7,https://www.sec.gov/Archives/edgar/data/1770787/000162828025050332/
AT&T Inc.,10-Q,2009-08-05,2009-06-30,,30734.0,12478.0,https://www.sec.gov/Archives/edgar/data/732717/000073271709000050/
AT&T Inc.,10-Q,2009-11-05,2009-09-30,,30855.0,12885.0,https://www.sec.gov/Archives/edgar/data/732717/000073271709000091/
AT&T Inc.,10-Q,2010-05-06,2010-03-31,,30649.0,12329.0,https://www.sec.gov/Archives/edgar/data/732717/000073271710000033/
AT&T Inc.,10-Q,2010-08-06,2010-06-30,,30808.0,12381.0,https://www.sec.gov/Archives/edgar/data/732717/000073271710000074/
AT&T Inc.,10-Q,2010-11-05,2010-09-30,,31581.0,13519.0,https://www.sec.gov/Archives/edgar/data/732717/000073271710000091/
AT&T Inc.,10-Q,2011-05-06,2011-03-31,,31247.0,13403.0,https://www.sec.gov/Archives/edgar/data/732717/000119312511130267/
AT&T Inc.,10-Q,2011-08-05,2011-06-30,,31495.0,13332.0,https://www.sec.gov/Archives/edgar/data/732717/000119312511211863/
AT&T Inc.,10-Q,2011-11-03,2011-09-30,,31478.0,13165.0,https://www.sec.gov/Archives/edgar/data/732717/000073271711000094/
AT&T Inc.,10-Q,2012-05-04,2012-03-31,,31822.0,12913.0,https://www.sec.gov/Archives/edgar/data/732717/000073271712000037/
AT&T Inc.,10-Q,2012-08-03,2012-06-30,,31575.0,12369.0,https://www.sec.gov/Archives/edgar/data/732717/000073271712000073/
AT&T Inc.,10-Q,2012-11-02,2012-09-30,,31459.0,12718.0,https://www.sec.gov/Archives/edgar/data/732717/000073271712000088/
AT&T Inc.,10-Q,2013-05-03,2013-03-31,,31356.0,12554.0,https://www.sec.gov/Archives/edgar/data/732717/000073271713000036/
AT&T Inc.,10-Q,2013-08-02,2013-06-30,,32075.0,13270.0,https://www.sec.gov/Archives/edgar/data/732717/000073271713000080/
AT&T Inc.,10-Q,2013-11-01,2013-09-30,,32158.0,13403.0,https://www.sec.gov/Archives/edgar/data/732717/000073271713000099/
AT&T Inc.,10-Q,2014-05-02,2014-03-31,,32476.0,13321.0,https://www.sec.gov/Archives/edgar/data/732717/000073271714000022/
AT&T Inc.,10-Q,2014-08-01,2014-06-30,,32575.0,14212.0,https://www.sec.gov/Archives/edgar/data/732717/000073271714000110/
AT&T Inc.,10-Q,2014-11-10,2014-06-30,,32575.0,14212.0,https://www.sec.gov/Archives/edgar/data/732717/000073271714000129/
AT&T Inc.,10-Q,2014-11-10,2014-09-30,,32957.0,14541.0,https://www.sec.gov/Archives/edgar/data/732717/000073271714000134/
