year,month,state,category,price
2013,4,CT,commercial,14.58
2013,5,CT,commercial,14.55
2013,6,CT,commercial,14.68
2013,7,CT,commercial,14.36
2013,8,CT,commercial,14.28
2013,9,CT,commercial,14.48
2013,10,CT,commercial,14.63
2013,11,CT,commercial,14.73
2013,12,CT,commercial,14.73
2014,1,CT,commercial,16.5
2014,2,CT,commercial,16.56
2014,3,CT,commercial,16.33
2014,4,CT,commercial,15.55
2014,5,CT,commercial,15.04
2014,6,CT,commercial,15.38
2014,7,CT,commercial,14.65
2014,8,CT,commercial,15.39
2014,9,CT,commercial,15.22
2014,10,CT,commercial,15.12
2014,11,CT,commercial,15.18
2014,12,CT,commercial,15.71
2015,1,CT,commercial,16.72
2015,2,CT,commercial,17.27
2015,3,CT,commercial,17.34
2015,4,CT,commercial,16.43
2015,5,CT,commercial,16.56
2015,6,CT,commercial,15.93
2015,7,CT,commercial,15.01
2015,8,CT,commercial,15.14
2015,9,CT,commercial,15.19
2015,10,CT,commercial,15.84
2015,11,CT,commercial,15.27
2015,12,CT,commercial,15.24
2016,1,CT,commercial,15.4
2016,2,CT,commercial,16.15
2016,3,CT,commercial,16.11
2016,4,CT,commercial,15.72
2016,5,CT,commercial,15.87
2016,6,CT,commercial,16.02
2016,7,CT,commercial,15.57
2016,8,CT,commercial,15.47
2016,9,CT,commercial,15.63
2016,10,CT,commercial,15.95
2016,11,CT,commercial,15.9
2016,12,CT,commercial,15.35
2017,1,CT,commercial,15.57
2017,2,CT,commercial,15.89
2017,3,CT,commercial,15.95
2017,4,CT,commercial,15.73
2017,5,CT,commercial,16.05
2017,6,CT,commercial,16.12
2017,7,CT,commercial,16.25
2017,8,CT,commercial,16.02
2017,9,CT,commercial,16.32
2017,10,CT,commercial,16.73
2017,11,CT,commercial,16.04
2017,12,CT,commercial,16.06
2018,1,CT,commercial,16.89
2018,2,CT,commercial,17.08
2018,3,CT,commercial,16.48
2018,4,CT,commercial,16.6
2018,5,CT,commercial,16.51
2018,6,CT,commercial,16.59
2018,7,CT,commercial,15.79
2018,8,CT,commercial,16.39
2018,9,CT,commercial,17.62
2018,10,CT,commercial,16.78
2018,11,CT,commercial,17.08
